DL_RECTYPE;PS Sequence;DL_LEVEL_SEQ;DL_REC_SEQ;DL_FILLER;Pack. Spec.;Description;Pack. Spec. Group;CREATED_BY;CREATED_AT;ORIG_SYSTEM;CHANGED_BY;CHANGED_AT;Upper Limit (D.Qty);Lower Rnd.Lmt(D.Qty);Up. Limit (%MnthDem);Low. Limit (%MthDem);Min. Qty for Suppl.;Rounding Method;Documents Exist;Level Set;Product ID;Product;Unit;Quantity;Base Unit;Ref. Mix Allowed;Batch Mix Allowed;Pack. Spec.;Level Seq. No.;Target Qty;Min. Qty;Layer Qty;Qty Classific.;HU Type;Rnd-Up Lim.(%PckSze);Rnd-D. Lim.(%PckSze);Minimum Pack Size;Total Weight;Loading Weight;Weight Unit;HU Tare Weight;Weight Unit;Total Volume;Loading Volume;Volume Unit;Tare Volume;Volume Unit;Total Capacity;Net Capacity;Tare Cap.;Length;Width;Height;Unit;Maximum Weight;Excess Wgt Tolerance;Tare Wt Var.;Max. Volume;Excess Volume Tol.;Closed Pack.;Max. Capacity;Excess Cap. Tol.;Max. Length;Max. Width;Max. Height;Unit of Measure;Minimum Volume;Minimum Weight;Min. Capacity;Operative UoM;Level Type;Weight Man.;Volume Man.;Dim. Man.;Capa. Man.;Performing Ent.;Print Long Text;HU Crea.;External Step;Fill Up;BAND_RND_UP;BAND_RND_DOWN;BAND_RND_NEAREST;Product ID;Product;HU Relevance;Unit;Quantity;Elem. Seq. No.;Element Type;Work Step;Elem. Group;Cond.Table;Condition Type;Valid From;Valid To;Condition Seq.;Log. Condition;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Field name;Value;Language;Description
H;1;1;1;;;340007022397;SAP;;;;;;0;0;0;0;0;;;PALLETDATA;;;;0;;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;1;1;1;;;;;;;;;;0;0;0;0;0;;;;;340007022397;PC;1;PC;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;1;1;1;;;;;;;;;;0;0;0;0;0;;;;;;;0;;;;;1;2147483647;0;0;;W001;0;0;;;;KG;0;KG;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;MAIN;;;;;;;X;;;;;;;;;;0;;;;20031063;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;1;1;1;;;;;;;;;;0;0;0;0;0;;;;;;;0;;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;372200200561;1;PC;1;;PACK;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;1;1;1;;;;;;;;;;0;0;0;0;0;;;;;;;0;;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;0;;;;;ZNXIBD01;0IBD;20220101;99991231;1;;PAK_LOCNO;SCUWGB2;PAK_MATNR;340007022397;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;2;1;1;;;340007022398;SAP;;;;;;0;0;0;0;0;;;PALLETDATA;;;;0;;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;2;1;1;;;;;;;;;;0;0;0;0;0;;;;;340007022398;PC;1;PC;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;2;1;1;;;;;;;;;;0;0;0;0;0;;;;;;;0;;;;;1;2147483647;0;0;;W001;0;0;;;;KG;0;KG;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;MAIN;;;;;;;X;;;;;;;;;;0;;;;20031063;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;2;1;1;;;;;;;;;;0;0;0;0;0;;;;;;;0;;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;372200200561;1;PC;1;;PACK;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;2;1;1;;;;;;;;;;0;0;0;0;0;;;;;;;0;;;;;;0;0;0;;;0;0;;0;0;;0;;0;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;0;;;;;ZNXIBD01;0IBD;20220101;99991231;1;;PAK_LOCNO;SCUWGB2;PAK_MATNR;340007022398;;;;;;;;;;;;;;;;;;;;;;;;;;;;
